url,producto,variedad,mercado,volumen,calidad,precioMin,precioProm,precioMax,unidad
15/02/2017,Durazno,September Sweet,Central Lo Valledor de Santiago,12,Especial,100.840,100.840,100.840,$/bins (400 kilos)
15/02/2017,Lechuga,Escarola,Central Lo Valledor de Santiago,1.800,Primera,3.361,3.361,3.361,$/caja 15 unidades
15/02/2017,Durazno,September Sweet,Central Lo Valledor de Santiago,14,Primera,84.034,84.034,84.034,$/bins (400 kilos)
15/02/2017,Lechuga,Escarola,Central Lo Valledor de Santiago,1.200,Segunda,1.681,1.961,2.101,$/caja 18 unidades
15/02/2017,Frambuesa,Sin especificar,Central Lo Valledor de Santiago,180,Primera,2.521,2.521,2.521,$/bandeja 2 kilos
15/02/2017,Lechuga,Marina,Central Lo Valledor de Santiago,600,Primera,3.361,3.361,3.361,$/caja 15 unidades
15/02/2017,Frutilla,Sin especificar,Central Lo Valledor de Santiago,420,Primera,4.622,5.162,5.462,$/bandeja 7 kilos
15/02/2017,Lechuga,Milanesa,Central Lo Valledor de Santiago,850,Primera,2.521,2.521,2.521,$/caja 20 unidades
15/02/2017,Frutilla,Sin especificar,Central Lo Valledor de Santiago,250,Segunda,3.782,4.050,4.202,$/bandeja 7 kilos
15/02/2017,Melón,Calameño,Central Lo Valledor de Santiago,2.600,Primera,370,393,420,$/unidad
15/02/2017,Frutilla,Sin especificar,Central Lo Valledor de Santiago,110,Tercera,2.101,2.406,2.521,$/bandeja 7 kilos
15/02/2017,Melón,Calameño,Central Lo Valledor de Santiago,2.900,Segunda,311,330,353,$/unidad
15/02/2017,Limón,Sin especificar,Central Lo Valledor de Santiago,891,1a amarillo,21.008,21.457,21.849,$/malla 18 kilos
15/02/2017,Melón,Calameño,Central Lo Valledor de Santiago,2.500,Tercera,227,244,269,$/unidad
15/02/2017,Limón,Sin especificar,Central Lo Valledor de Santiago,2.312,1a plateado,20.168,20.586,21.008,$/malla 18 kilos
15/02/2017,Melón,Tuna,Central Lo Valledor de Santiago,4.200,Extra (muy buena),462,481,504,$/unidad
15/02/2017,Limón,Sin especificar,Central Lo Valledor de Santiago,371,2a amarillo,18.487,18.906,19.328,$/malla 18 kilos
15/02/2017,Melón,Tuna,Central Lo Valledor de Santiago,4.800,Primera,403,423,445,$/unidad
15/02/2017,Limón,Sin especificar,Central Lo Valledor de Santiago,852,2a plateado,17.647,18.013,18.487,$/malla 18 kilos
15/02/2017,Melón,Tuna,Central Lo Valledor de Santiago,4.300,Segunda,328,349,378,$/unidad
15/02/2017,Limón,Sin especificar,Central Lo Valledor de Santiago,80,3a amarillo,15.126,15.599,15.966,$/malla 18 kilos
15/02/2017,Melón,Tuna,Central Lo Valledor de Santiago,4.700,Tercera,244,266,294,$/unidad
15/02/2017,Limón,Sin especificar,Central Lo Valledor de Santiago,271,3a plateado,15.126,15.569,15.966,$/malla 18 kilos
15/02/2017,Papa,Karú,Central Lo Valledor de Santiago,1.140,1a nueva(o),5.882,6.244,6.723,$/saco 50 kilos
15/02/2017,Limón,Sin especificar,Central Lo Valledor de Santiago,426,Cachana,12.605,12.605,12.605,$/malla 18 kilos
